mag_X,mag_Y,mag_Z,ADC1_CH1,ADC1_CH2,ADC1_CH3,ADC1_CH4,ADC1_CH5,ADC1_CH6
0.0198,0.0198,0.0381,0.04,0.03,1.35,1.53,0.88,0.16
0.0198,0.0198,0.0381,1.15,0,0.08,0.88,1.75,0.08
0.0198,0.0198,0.0381,1.57,0.05,0.01,0.12,1.46,0.13
0.0198,0.0198,0.0381,0.83,1.86,0.25,0.04,0.47,0.08
0.0198,0.0198,0.0381,0.05,1.33,1.72,0.14,0,0.4
0.0198,0.0198,0.0381,0.21,0.25,1.5,0.1,0.01,1.63
0.0198,0.0198,0.0381,0.14,0.16,0.82,1.58,0,1.19
0.0198,0.0198,0.0381,0.92,0.03,0.05,1.49,1.45,0.22
0.0198,0.0198,0.0381,0.47,0.85,0,0.14,2.02,0.12
0.0198,0.0198,0.0381,0.88,1.13,0.05,0.03,1.67,0.22
-72.2652,17.1588,129.4347,0.53,2.01,0.32,0.1,0.05,0.3
0.0198,0.0198,0.0381,0.04,1.26,1.82,0.28,0.13,0.39
0.0198,0.0198,0.0381,0.19,0.04,2.2,0.89,0.03,0.3
0.0198,0.0198,0.0381,0.09,0.22,0.89,1.82,0.01,0.83
0.0198,0.0198,0.0381,1.33,0.14,0.22,1.59,0,0.74
0.0198,0.0198,0.0381,1.38,0.38,0.03,0.09,1.8,0.26
0.0198,0.0198,0.0381,0.18,0.31,0.52,0.13,2.23,0.16
0.0198,0.0198,0.0381,0.04,1.26,0.67,0.06,1.72,0.26
0.0198,0.0198,0.0381,0.1,1,1.94,0.35,0.09,0.7
-83.9292,83.9292,141.5656,0.28,0.03,1.86,1.1,0.14,0.69
0.0198,0.0198,0.0381,0.26,0.14,0.36,2.15,0.4,0.34
-81.4694,14.7387,139.8108,1.73,0.06,0.28,1.31,0.21,0.31
0.0198,0.0198,0.0381,1.97,0.91,0.16,0.27,0.18,0.35
0.0198,0.0198,0.0381,0.53,1.14,0.18,0.03,1.86,0.32
0.0198,0.0198,0.0381,0.66,0.43,0.47,0.08,2.14,0.17
0.0198,0.0198,0.0381,0.06,0.72,1.49,0.3,1.73,0.28
0.0198,0.0198,0.0381,0.43,0.08,1.77,1.23,0.09,0.67
0.0198,0.0198,0.0381,0.6,0.31,0.01,1.9,0.13,0.82
0.0198,0.0198,0.0381,1.75,0.19,0.17,0.97,0.78,0.39
0.0198,0.0198,0.0381,0.27,1.93,0.65,0.19,0.56,0.31
0.0198,0.0198,0.0381,0.01,1.19,0.53,0.14,1.72,0.3
0.0198,0.0198,0.0381,0.54,0.27,0.06,2.02,0.05,0.61
0.0198,0.0198,0.0381,1.84,0.23,0.26,0.71,0.08,1.05
0.0198,0.0198,0.0381,0.14,0.19,1.93,0.36,1.24,0.26
0.0198,0.0198,0.0381,0.22,0.01,2.12,0.23,0.89,0.08
-63.18,17.5555,127.985,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-88.452,79.2874,145.6855,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
-52.9442,41.0422,117.6852,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0,0,0,0,0,0
0.0198,0.0198,0.0381,0.08,0,0,0,0,0
0.0198,0.0198,0.0381,0.41,0.19,0.84,1.92,0.7,0.4
0.0198,0.0198,0.0381,1.11,0.48,0.21,1.55,0.09,1.02
0.0198,0.0198,0.0381,0.31,1.45,0.27,0.16,1.54,0.44
0.0198,0.0198,0.0381,0.31,0.34,1.88,0.03,1.23,0.3
0.0198,0.0198,0.0381,0.1,0.21,1.33,0.13,1.84,0.43
